File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
spp	Latn	3.525274725274725	3	57	1604	0.0355	192	455	0.422	6.76025836334315
swh	Latn	5.552	5.0	36	11104	0.0032	1063	2000	0.5315	9.126212535063097
tgl	Latn	4.8335	4.0	49	9667	0.0051	912	2000	0.456	8.228598369652557
tml	Latn	5.579234972677596	5	33	1021	0.0323	126	183	0.6885	6.6449781501631975
tha	Thai	2.874	3.0	335	5748	0.0583	794	2000	0.397	8.682894190541417
tiw	Latn	5.791867677463818	5	34	8404	0.004	534	1451	0.368	8.174023048022867
vie	Latn	3.301	3.0	100	6602	0.0151	814	2000	0.407	8.910099997698767
vie	Hani	3.3695	3.0	100	6739	0.0148	836	2000	0.418	8.942255019178065
wyb	Latn	8.002155172413794	7.0	30	7426	0.004	596	928	0.6422	8.739658150878494
wba	Latn	5.9725	6.0	30	11945	0.0025	819	2000	0.4095	8.719868281133442
pav	Latn	3.7425	3.0	27	7485	0.0036	456	2000	0.228	7.432408579363884
pes	Arab	3.87	4.0	94	7740	0.0121	1143	2000	0.5715	9.352738123310669
kew	Latn	5.0315	4.0	31	10063	0.0031	790	2000	0.395	8.624474748692709
kjq	Latn	3.208	3.0	47	6416	0.0073	465	2000	0.2325	6.246282106079624
wic	Latn	9.59851851851852	7	30	6479	0.0046	443	675	0.6563	8.374274522294996
mzh	Latn	5.1385	5.0	43	10277	0.0042	839	2000	0.4195	7.973588201898487
yad	Latn	7.5215	7.0	46	15043	0.0031	1120	2000	0.56	9.231242133402487
yaq	Latn	5.227	5.0	31	10454	0.003	778	2000	0.389	8.451206875350778
yor	Latn	3.5105	3.0	57	7021	0.0081	676	2000	0.338	8.076943779705713
zul	Latn	7.7195	8.0	36	15439	0.0023	1246	2000	0.623	9.770129487854724
