File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
lvk	Latn	4.781303116147309	5	30	8439	0.0036	732	1765	0.4147	8.588995331681087
dni	Latn	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7302	7.284908249233824
lue	Latn	7.214638157894737	7.0	33	8773	0.0038	587	1216	0.4827	8.35776891182995
ayz	Latn	3.486284289276808	4.0	28	2796	0.01	257	802	0.3204	7.106099858453751
myh	Latn	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504	6.984868570852893
cmn	Hans	1.6902	1.0	2134	16902	0.1263	4026	10000	0.4026	10.482269004185662
cmn	Hant	1.602	1.0	2204	16020	0.1376	3961	10000	0.3961	10.444681538882383
arn	Latn	5.4268	5.0	42	54268	0.0008	2539	10000	0.2539	8.546156834669027
vma	Latn	8.633597883597883	7.0	28	32635	0.0009	1523	3780	0.4029	9.439684916797885
mph	Latn	5.9255	5.0	37	59255	0.0006	1808	10000	0.1808	7.966814880208541
ote	Latn	3.529783869267264	3	55	20088	0.0027	1567	5691	0.2753	8.523934728600732
ell	Grek	5.1438	4.0	104	51438	0.002	4392	10000	0.4392	10.372056824034562
naq	Latn	4.1223	4.0	45	41223	0.0011	2656	10000	0.2656	8.939167239443648
tur	Latn	5.9879	6.0	54	59879	0.0009	5250	10000	0.525	11.305006276874762
kat	Geor	5.3317	5.0	101	53317	0.0019	4905	10000	0.4905	11.02794490380557
kan	Knda	4.7078	4.0	519	47078	0.011	4839	10000	0.4839	11.371996055404294
mya	Mymr	2.3783	2.0	500	23783	0.021	2095	10000	0.2095	8.93877922681487
jpn	Jpan	1.8769	1.0	1212	18769	0.0646	2848	10000	0.2848	9.288629097107108
pwn	Latn	5.0995828988529714	4.0	35	9781	0.0036	540	1918	0.2815	7.4097959367699975
gug	Latn	5.4942	5.0	54	54942	0.001	3085	10000	0.3085	9.619953503656085
myp	Latn	5.174071689203692	5	32	24106	0.0013	1196	4659	0.2567	8.349237655068912
crk	Latn	8.352941176470589	7	31	3550	0.0087	288	425	0.6776	7.804320522055016
plt	Latn	5.7024	5.0	66	57024	0.0012	3327	10000	0.3327	9.669205895086057
jac	Latn	4.9047	4.0	38	49047	0.0008	2276	10000	0.2276	8.670417581822738
rma	Latn	6.367989056087551	6	32	4655	0.0069	468	731	0.6402	8.49039677731753
rap	Latn	3.2394468704512374	3.0	33	8902	0.0037	498	2748	0.1812	7.201949652396922
rus	Cyrl	5.3241	5.0	94	53241	0.0018	4628	10000	0.4628	10.741613390021199
sag	Latn	3.4932	3.0	49	34932	0.0014	1015	10000	0.1015	7.062079992643067
mig	Latn	3.1607	3.0	50	31607	0.0016	1333	10000	0.1333	7.436648030258231
xsu	Latn	3.555	3.0	46	35550	0.0013	1295	10000	0.1295	7.393521373262151
spa	Latn	4.7228	4.0	67	47228	0.0014	3765	10000	0.3765	9.77056211904359
fra	Latn	4.8266	4.0	74	48266	0.0015	3777	10000	0.3777	10.033502292477015
eng	Latn	4.5481	4.0	51	45481	0.0011	3345	10000	0.3345	9.767120805941762
deu	Latn	5.3864	4.0	76	53864	0.0014	4072	10000	0.4072	10.271660384804008
spp	Latn	3.525274725274725	3	57	1604	0.0355	192	455	0.422	6.76025836334315
swh	Latn	5.5578	5.0	36	55578	0.0006	3499	10000	0.3499	9.963400698477795
tgl	Latn	4.8879	4.0	52	48879	0.0011	3353	10000	0.3353	9.12611210244122
tml	Latn	5.579234972677596	5	33	1021	0.0323	126	183	0.6885	6.6449781501631975
tha	Thai	2.8108	3.0	510	28108	0.0181	2277	10000	0.2277	9.360099956985133
tiw	Latn	5.791867677463818	5	34	8404	0.004	534	1451	0.368	8.174023048022867
vie	Latn	3.3564	3.0	111	33564	0.0033	2014	10000	0.2014	9.387881696112444
vie	Hani	3.369	3.0	111	33690	0.0033	2075	10000	0.2075	9.4689781546307
wyb	Latn	8.002155172413794	7.0	30	7426	0.004	596	928	0.6422	8.739658150878494
wba	Latn	5.992348440258976	6	34	30543	0.0011	1419	5097	0.2784	9.133694840401967
pav	Latn	3.7335504885993487	3.0	27	11462	0.0024	556	3070	0.1811	7.520951361191976
pes	Arab	3.8643	4.0	147	38643	0.0038	3908	10000	0.3908	10.444485334069766
kew	Latn	4.9557	4.0	32	49557	0.0006	2392	10000	0.2392	9.272052484196571
kjq	Latn	3.185907046476762	3.0	52	17000	0.0031	888	5336	0.1664	6.552513467845861
wic	Latn	9.59851851851852	7	30	6479	0.0046	443	675	0.6563	8.374274522294996
mzh	Latn	5.1596	5.0	43	51596	0.0008	2635	10000	0.2635	8.681685076412908
yad	Latn	7.6275	7.0	50	76275	0.0007	4106	10000	0.4106	10.358953899244487
yaq	Latn	5.2464	5.0	33	52464	0.0006	2408	10000	0.2408	9.058632165023994
yor	Latn	3.4985	3.0	66	34985	0.0019	2180	10000	0.218	8.721666076673898
zul	Latn	7.5524	7.0	48	75524	0.0006	3731	10000	0.3731	10.792975477970305
