File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
hix	5.406	4.0	27	2703	0.01	210	500	0.42	6.851456302212745
hnj	3.804	4.0	26	1902	0.0137	207	500	0.414	7.155072126932193
qvi	7.952	8.0	37	3976	0.0093	360	500	0.72	8.195344311988887
imn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695402298850575	7.609092489492953
ind	5.556	5.0	35	2778	0.0126	340	500	0.68	8.000598853699247
kal	11.186	10.0	35	5593	0.0063	455	500	0.91	8.725928183090211
gyd	8.16	7.0	29	4080	0.0071	414	500	0.828	8.47507812124836
kio	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528301886792453	5.1796833419362684
kor	3.522	3.0	320	1761	0.1817	408	500	0.816	8.415332974371786
kgo	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5365853658536586	6.62759880061751
kut	3.566666666666667	3.0	37	321	0.1153	46	90	0.5111111111111111	4.642118705461243
laj	3.856	4.0	33	1928	0.0171	269	500	0.538	7.430436098378943
lvk	4.854	5.0	30	2427	0.0124	306	500	0.612	7.821223172681141
dni	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7301587301587301	7.284908249233824
lue	7.292	7.0	31	3646	0.0085	302	500	0.604	7.74952314102015
ayz	3.546	4.0	28	1773	0.0158	188	500	0.376	6.8330311236374115
myh	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504065040650406	6.984868570852893
cmn	1.606	1.0	396	803	0.4932	350	500	0.7	7.906487095627426
arn	5.388	5.0	37	2694	0.0137	248	500	0.496	7.1519156029237765
vma	8.558	7.0	26	4279	0.0061	332	500	0.664	7.980492468058446
mph	6.142	6.0	34	3071	0.0111	245	500	0.49	7.026213650685408
ote	3.36	3.0	47	1680	0.028	241	500	0.482	6.985528358780174
ell	5.142	4.0	64	2571	0.0249	342	500	0.684	7.976680861381565
naq	4.148	3.0	43	2074	0.0207	274	500	0.548	7.277290079348699
tur	5.764	5.0	42	2882	0.0146	406	500	0.812	8.429248060948336
kat	5.466	5.0	73	2733	0.0267	411	500	0.822	8.467565422098826
kan	4.648	4.0	265	2324	0.114	413	500	0.826	8.492605752400017
mya	2.322	2.0	202	1161	0.174	274	500	0.548	7.480345438019851
jpn	2.076	2.0	313	1038	0.3015	309	500	0.618	7.68703910276935
pwn	5.164	4.0	34	2582	0.0132	234	500	0.468	6.803096814521467
gug	5.534	5.0	49	2767	0.0177	301	500	0.602	7.706784292883922
myp	5.458	5.0	25	2729	0.0092	268	500	0.536	7.187241435213637
crk	8.352941176470589	7	31	3550	0.0087	288	425	0.6776470588235294	7.804320522055016
plt	5.844	5.5	40	2922	0.0137	317	500	0.634	7.733870733124059
jac	4.98	4.0	36	2490	0.0145	249	500	0.498	7.2500499310024695
rma	6.352	6.0	31	3176	0.0098	353	500	0.706	8.174931029956193
rap	3.246	3.0	32	1623	0.0197	194	500	0.388	6.6539354801631845
rus	5.57	5.0	63	2785	0.0226	381	500	0.762	8.26611828604306
sag	3.48	3.0	42	1740	0.0241	160	500	0.32	6.136240561911651
mig	3.076	3.0	48	1538	0.0312	195	500	0.39	6.448890586427083
xsu	3.622	3.0	38	1811	0.021	180	500	0.36	6.489372524672834
spa	4.594	4.0	42	2297	0.0183	309	500	0.618	7.602764012174087
fra	4.62	4.0	46	2310	0.0199	330	500	0.66	7.913875077608714
eng	4.502	4.0	37	2251	0.0164	310	500	0.62	7.759829770815449
deu	5.244	4.0	40	2622	0.0153	347	500	0.694	7.991502620547673
spp	3.525274725274725	3	57	1604	0.0355	192	455	0.421978021978022	6.76025836334315
swh	5.564	5.0	34	2782	0.0122	325	500	0.65	7.863520807605867
tgl	4.804	4.0	45	2402	0.0187	274	500	0.548	7.07978475080944
tml	5.579234972677596	5	33	1021	0.0323	126	183	0.6885245901639344	6.6449781501631975
tha	2.834	3.0	220	1417	0.1553	316	500	0.632	7.908608726182063
tiw	5.636	5.0	34	2818	0.0121	266	500	0.532	7.49881459125344
vie	3.318	3.0	95	1659	0.0573	314	500	0.628	7.910941695747266
wyb	8.074	7.0	30	4037	0.0074	366	500	0.732	8.218320746269882
wba	5.804	6.0	31	2902	0.0107	308	500	0.616	7.752430415566351
pav	3.76	3.0	27	1880	0.0144	189	500	0.378	6.6983507836948055
pes	3.892	4.0	82	1946	0.0421	374	500	0.748	8.237443622474387
kew	5.036	4.0	29	2518	0.0115	279	500	0.558	7.697767642958927
kjq	3.38	3.0	49	1690	0.029	219	500	0.438	5.977215716722028
wic	9.766	7.0	30	4883	0.0061	356	500	0.712	8.155763412105244
mzh	5.032	5.0	38	2516	0.0151	260	500	0.52	6.900827216377575
yad	7.556	7.0	41	3778	0.0109	350	500	0.7	8.014104135732458
yaq	5.478	5.0	30	2739	0.011	273	500	0.546	7.563234021528144
yor	3.202	2.0	49	1601	0.0306	229	500	0.458	7.083315867620545
zul	7.636	8.0	32	3818	0.0084	396	500	0.792	8.388136771274322
