File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
vma	8.635714285714286	7.0	28	32643	0.0009	1523	3780	0.4029100529100529	9.441939456880888
mph	5.9712	5.0	38	59712	0.0006	1883	10000	0.1883	8.052379912381475
ote	3.529783869267264	3	55	20088	0.0027	1567	5691	0.27534703918467757	8.523934728600732
ell	5.1452	4.0	89	51452	0.0017	4371	10000	0.4371	10.325613462731335
naq	4.0787	3.0	45	40787	0.0011	2563	10000	0.2563	8.874514258215981
tur	6.0443	6.0	63	60443	0.001	5321	10000	0.5321	11.313640447332801
kat	5.2935	5.0	109	52935	0.0021	4859	10000	0.4859	10.96187352469618
kan	4.6498	4.0	528	46498	0.0114	4634	10000	0.4634	11.243128210018744
mya	2.3398	2.0	459	23398	0.0196	2003	10000	0.2003	8.87815726268283
jpn	1.866	1.0	1234	18660	0.0661	2935	10000	0.2935	9.386809561392349
pwn	5.0995828988529714	4.0	35	9781	0.0036	540	1918	0.28154327424400416	7.4097959367699975
gug	5.5114	5.0	55	55114	0.001	3125	10000	0.3125	9.682008162988346
myp	5.174071689203692	5	32	24106	0.0013	1196	4659	0.2567074479502039	8.349237655068912
crk	8.352941176470589	7	31	3550	0.0087	288	425	0.6776470588235294	7.804320522055016
plt	5.7412	5.0	54	57412	0.0009	3329	10000	0.3329	9.695887204747635
jac	4.9329	5.0	38	49329	0.0008	2252	10000	0.2252	8.682104229110557
rma	6.367989056087551	6	32	4655	0.0069	468	731	0.640218878248974	8.49039677731753
rap	3.2394468704512374	3.0	33	8902	0.0037	498	2748	0.1812227074235808	7.201949652396922
rus	5.3998	5.0	80	53998	0.0015	4628	10000	0.4628	10.789437014768975
sag	3.4332	3.0	49	34332	0.0014	1016	10000	0.1016	7.016440797936004
mig	3.0991	3.0	50	30991	0.0016	1321	10000	0.1321	7.3916731611999245
xsu	3.6019	3.0	49	36019	0.0014	1331	10000	0.1331	7.4064519579333385
spa	4.7114	4.0	55	47114	0.0012	3742	10000	0.3742	9.804683594376698
fra	4.7584	4.0	87	47584	0.0018	3709	10000	0.3709	9.931954739652573
eng	4.5598	4.0	48	45598	0.0011	3347	10000	0.3347	9.761113489538122
deu	5.4705	5.0	81	54705	0.0015	3956	10000	0.3956	10.186548639106194
spp	3.525274725274725	3	57	1604	0.0355	192	455	0.421978021978022	6.76025836334315
swh	5.5543	5.0	36	55543	0.0006	3449	10000	0.3449	9.881286728068641
tgl	4.8821	4.0	56	48821	0.0011	3325	10000	0.3325	9.096492000649029
tml	5.579234972677596	5	33	1021	0.0323	126	183	0.6885245901639344	6.6449781501631975
tha	2.8402	3.0	491	28402	0.0173	2329	10000	0.2329	9.387600028511374
tiw	5.791867677463818	5	34	8404	0.004	534	1451	0.3680220537560303	8.174023048022867
vie	3.342	3.0	113	33420	0.0034	2100	10000	0.21	9.530603075860618
wyb	8.002155172413794	7.0	30	7426	0.004	596	928	0.6422413793103449	8.739658150878494
wba	5.992348440258976	6	34	30543	0.0011	1419	5097	0.27839905826957034	9.133694840401967
pav	3.7335504885993487	3.0	27	11462	0.0024	556	3070	0.18110749185667752	7.520951361191976
pes	3.8506	4.0	153	38506	0.004	3895	10000	0.3895	10.421565654171271
kew	4.9333	4.0	32	49333	0.0006	2336	10000	0.2336	9.212611939210696
kjq	3.185907046476762	3.0	52	17000	0.0031	888	5336	0.1664167916041979	6.552513467845861
wic	9.59851851851852	7	30	6479	0.0046	443	675	0.6562962962962963	8.374274522294996
mzh	5.194	5.0	44	51940	0.0008	2716	10000	0.2716	8.71719888064802
yad	7.6577	7.0	49	76577	0.0006	4199	10000	0.4199	10.407037752427398
yaq	5.1526	5.0	31	51526	0.0006	2346	10000	0.2346	8.993095194106619
yor	3.5672	3.0	62	35672	0.0017	2170	10000	0.217	8.707327018644134
zul	7.5767	7.0	44	75767	0.0006	3837	10000	0.3837	10.824807768989125
